old,new
προιριμενω,προειρημενω
αυτο͂ν,αυτων
εξετο͂ν,εξαιτων
κοσμιοτατης,κοσμιωτατης
εμνηστευσατω,εμνηστευσατο
μνηστιας,μνηστειας
τη πετια,τη πετια
"στιχαμαφορια*,","στιχαμαφορια*,"
αδικημενοις,ηδικημενοις
παση,πασι
παγκτισω,παγκτιστω
αμφοτερον,αμφοτερων
αρραβο͂νος,αρραβωνος
επιτοθεντος,επιδοθεντος
πεφανε,πεφηνε
αμφωτερον,αμφοτερων
ετνα,εδνα
ετνα,εδνα
ετοξε,εδοξε
τον,των
αμφωτερων,αμφοτερων
εγραφον,εγγραφον
προιγωων,προικωον
νομον,νομων
προιριμενω,προειρημενω
ταξν,ταξιν
τον,των
γαινωνιαν,κοινωνιαν
επιστιλατο,επεστειλατο
προειρειμενου,προειρημενου
προειρειμενου,προειρημενου
απεκρεψεν,απεκρυψεν
προιριμενω,προειρημενω
αυτο͂ν,αυτων
εξετο͂ν,εξαιτων
κοσμιοτατης,κοσμιωτατης
εμνηστευσατω,εμνηστευσατο
μνηστιας,μνηστειας
αναιρηθεντος,αναιρεθεντος
προσιμι,προσειμι
θεου,θειου
αντεοπολιτη,ανταιοπολιτη
ευρουσιν,ευρωσιν
εινα,ινα
ευζωειας,ευζωιας
οικου,οικον
εδανισαμεθα,εδανεισαμεθα
θερμοτερης,θερμοτερας
καμεινον,καμινον
καθʼ,κατʼ
επραιτευσεν,επραιδευσεν
εισπραξεως/*,εισπραξεως/*
φροντιειη,φροντισειη
δεσποτιαν,δεσποτειαν
καν,και αν
ενη,ενι
ημελλεν,εμελλεν
κερδενειν,κερδαινειν
του,τους
πασην,πασιν
μαρτυρον,μαρτυρω
προτης,πρωτης
ενδεεις,ενδεεσι
καθεισμα,καθισμα
βασιλειδος,βασιλιδος
βασιλειδα,βασιλιδα
τον,των
οιον,οιου
προσηνενοχαμεν,προσενηνοχαμεν
υπατιαν,υπατειαν
αχρει,αχρι
τεσσαρεισκαιδεκατης,τεσσαρεσκαιδεκατης
ουδενει,ουδενι
μετεωρεισμου,μετεωρισμου
ῥαδιουργειας,ῥαδιουργιας
ομολογειας,ομολογιας
προδιορεισθεισι,προδιορισθεισι
ουδενει,ουδενι
πορεισθεισης,πορισθεισης
επωμνυμεθα,επομνυμεθα
δε,τε
ανηχθεισης,αναχθεισης
καταφανες,καταφανεις
σεμημειωμαι,σεσημειωμαι
σεμημειωμαι,σεσημειωμαι
οκτακισχειλιας,οκτακισχιλιας
πεντακισχειλιας,πεντακισχιλιας
πεντακισχειλιας,πεντακισχιλιας
προτοκωμητης,πρωτοκωμητης
στυχι,στοιχει
εραιας,ερεας
τω,του
λογιστηκρκιου,λογιστηκρκιου
εραιας,ερεας
οβρυσεικ,οβρυζικου
φολετρου,φορετρου
λογωγραφω,λογογραφω
παλλατινω,παλατινω
ιμπετιμεντα,ιμπεδιμεντα
φολετρον,φορετρον
*,*
ελαιου,ελαιου
γηδια,γηδιων
ιωσηφιω,ιωσηφιου
ιωσηφιω,ιωσηφιου
βικτορι,βικτορος
ανδρεου,ανδρεα
διαφορον,διαφορων
καλαντικ,καλανδικων
ελαιοπωλ,ελαιοπωλη
τινι,δεινι
ωα,ωων
υπο,απο
σιγγολλαριος,σιγγουλαριος
σιγγολλαριω,σιγγουλαριω
θεοδοσιω,θεοδοσιου
γενναιωτατων,γενναιοτατων
παρηγωριω,παρηγοριω
παραμυθειας,παραμυθιας
τινι,δεινι
συμπλογης,συμπλοκης
νουμιτων,νουμιδων
εραιας,ερεας
τρεισκαιδεκατης,τρισκαιδεκατης
*,*
ελαιου,ελαιου
γηδια,γηδιων
ιωσηφιω,ιωσηφιου
ιωσηφιω,ιωσηφιου
βικτορι,βικτορος
ανδρεου,ανδρεα
διαφορον,διαφορων
καλαντικ,καλανδικων
ελαιοπωλ,ελαιοπωλη
τινι,δεινι
ωα,ωων
υπο,απο
σιγγολλαριος,σιγγουλαριος
σιγγολλαριω,σιγγουλαριω
θεοδοσιω,θεοδοσιου
πεκυσιω,πεκυσιου
πεκυσιω,πεκυσιου
γενναιωτατων,γενναιοτατων
παρηγωριω,παρηγοριω
παραμυθειας,παραμυθιας
τινι,δεινι
συμπλογης,συμπλοκης
νουμιτων,νουμιδων
εραιας,ερεας
τρεισκαιδεκατης,τρισκαιδεκατης
μηνας,μηνα
μηνας,μηνα
μηνας,μηνα
μηνας,μηνα
μηνας,μηνα
μηνας,μηνα
ζημειας,ζημιας
ταλαιπωρη,ταλαιπωρος
τιμιοτατον,τιμιωτατον
χρεοστουμενον,χρεωστουμενον
επερωτησα,επηρωτησα
βορινη,βορεινη
μαρτηρια,μαρτυρια
στιχι,στοιχει
λοιστρικω,ληστρικω
